type,vertices,heuristic,colors,time
90,50,WELSH_POWELL,23,43930
90,50,DSATUR,25,2025139
90,50,GREEDY,25,13760
90,50,WELSH_POWELL,26,43726
90,50,DSATUR,24,90042
90,50,GREEDY,27,14759
90,50,WELSH_POWELL,26,40357
90,50,DSATUR,24,2921593
90,50,GREEDY,25,14741
90,50,WELSH_POWELL,24,42995
90,50,DSATUR,24,220594
90,50,GREEDY,26,15825
90,50,WELSH_POWELL,26,42569
90,50,DSATUR,25,94066
90,50,GREEDY,25,14243
90,50,WELSH_POWELL,24,41418
90,50,DSATUR,23,321227
90,50,GREEDY,28,15364
90,50,WELSH_POWELL,24,41503
90,50,DSATUR,26,98691
90,50,GREEDY,25,15530
90,50,WELSH_POWELL,23,40638
90,50,DSATUR,23,213572
90,50,GREEDY,27,16340
90,50,WELSH_POWELL,25,42936
90,50,DSATUR,24,93576
90,50,GREEDY,28,17073
90,50,WELSH_POWELL,24,46037
90,50,DSATUR,25,108090
90,50,GREEDY,28,15089
90,50,WELSH_POWELL,25,38995
90,50,DSATUR,25,226329
90,50,GREEDY,26,3354717
90,50,WELSH_POWELL,23,82215
90,50,DSATUR,23,93395
90,50,GREEDY,26,198273
90,50,WELSH_POWELL,24,43437
90,50,DSATUR,25,122004
90,50,GREEDY,26,15977
90,50,WELSH_POWELL,24,67659
90,50,DSATUR,24,89843
90,50,GREEDY,28,14824
90,50,WELSH_POWELL,26,41067
90,50,DSATUR,27,99650
90,50,GREEDY,25,14158
90,50,WELSH_POWELL,25,39273
90,50,DSATUR,24,86522
90,50,GREEDY,27,15542
90,50,WELSH_POWELL,24,41016
90,50,DSATUR,25,84797
90,50,GREEDY,29,13124
90,50,WELSH_POWELL,25,38380
90,50,DSATUR,26,96437
90,50,GREEDY,25,15358
90,50,WELSH_POWELL,24,38979
90,50,DSATUR,25,94874
90,50,GREEDY,27,15066
90,50,WELSH_POWELL,23,39486
90,50,DSATUR,25,90895
90,50,GREEDY,26,16552
90,50,WELSH_POWELL,24,40503
90,50,DSATUR,21,86332
90,50,GREEDY,26,15457
90,50,WELSH_POWELL,25,41926
90,50,DSATUR,25,91927
90,50,GREEDY,28,14781
90,50,WELSH_POWELL,26,42013
90,50,DSATUR,27,99206
90,50,GREEDY,29,13685
90,50,WELSH_POWELL,28,40141
90,50,DSATUR,26,93590
90,50,GREEDY,28,15050
90,50,WELSH_POWELL,24,40113
90,50,DSATUR,24,88096
90,50,GREEDY,25,15517
90,50,WELSH_POWELL,26,42105
90,50,DSATUR,25,91573
90,50,GREEDY,25,15303
90,50,WELSH_POWELL,24,40894
90,50,DSATUR,24,90609
90,50,GREEDY,25,15657
90,50,WELSH_POWELL,23,40316
90,50,DSATUR,23,86435
90,50,GREEDY,27,14717
90,50,WELSH_POWELL,25,40606
90,50,DSATUR,26,95563
90,50,GREEDY,25,15117
90,50,WELSH_POWELL,25,41221
90,50,DSATUR,26,95072
90,50,GREEDY,25,15158
90,50,WELSH_POWELL,24,41015
90,50,DSATUR,22,89272
90,50,GREEDY,26,15096
90,50,WELSH_POWELL,24,41372
90,50,DSATUR,23,95328
90,50,GREEDY,25,15030
90,50,WELSH_POWELL,25,41994
90,50,DSATUR,24,94442
90,50,GREEDY,28,20812
90,50,WELSH_POWELL,23,45820
90,50,DSATUR,24,94622
90,50,GREEDY,25,16154
90,50,WELSH_POWELL,24,40179
90,50,DSATUR,25,95855
90,50,GREEDY,29,15670
90,50,WELSH_POWELL,26,40220
90,50,DSATUR,27,98560
90,50,GREEDY,29,14741
90,50,WELSH_POWELL,23,40613
90,50,DSATUR,23,91105
90,50,GREEDY,26,15780
90,50,WELSH_POWELL,25,41138
90,50,DSATUR,24,91524
90,50,GREEDY,24,14296
90,50,WELSH_POWELL,26,41691
90,50,DSATUR,24,86997
90,50,GREEDY,27,14940
90,50,WELSH_POWELL,24,40237
90,50,DSATUR,24,90190
90,50,GREEDY,28,13621
90,50,WELSH_POWELL,26,39713
90,50,DSATUR,24,86205
90,50,GREEDY,27,15130
90,50,WELSH_POWELL,25,42832
90,50,DSATUR,23,89285
90,50,GREEDY,29,14611
90,50,WELSH_POWELL,24,39678
90,50,DSATUR,23,90455
90,50,GREEDY,28,13701
90,50,WELSH_POWELL,24,41790
90,50,DSATUR,24,92814
90,50,GREEDY,28,14857
90,50,WELSH_POWELL,25,41140
90,50,DSATUR,25,93850
90,50,GREEDY,25,15617
90,50,WELSH_POWELL,22,41527
90,50,DSATUR,21,89280
90,50,GREEDY,27,15061
90,50,WELSH_POWELL,24,40069
90,50,DSATUR,24,86752
90,50,GREEDY,25,14913
90,50,WELSH_POWELL,21,41362
90,50,DSATUR,23,89446
90,50,GREEDY,25,14171
90,50,WELSH_POWELL,22,39630
90,50,DSATUR,24,85118
90,50,GREEDY,27,12559
90,50,WELSH_POWELL,26,37127
90,50,DSATUR,25,86285
90,50,GREEDY,27,13176
90,50,WELSH_POWELL,26,37157
90,50,DSATUR,24,84203
90,50,GREEDY,24,14373
90,50,WELSH_POWELL,23,38951
90,50,DSATUR,25,89836
90,50,GREEDY,26,15773
90,50,WELSH_POWELL,25,41394
90,50,DSATUR,25,90485
90,50,GREEDY,26,15965
90,50,WELSH_POWELL,24,40631
90,50,DSATUR,25,89804
90,50,GREEDY,27,15724
90,50,WELSH_POWELL,25,41160
90,50,DSATUR,25,91374
90,50,GREEDY,26,14352
90,50,WELSH_POWELL,24,39312
90,50,DSATUR,25,206671
90,50,GREEDY,27,14962
90,50,WELSH_POWELL,22,41382
