type,vertices,heuristic,colors,time
10,50,GREEDY,5,9721
10,50,WELSH_POWELL,4,72837
10,50,DSATUR,4,59633
10,50,GREEDY,5,9846
10,50,WELSH_POWELL,4,33276
10,50,DSATUR,4,62281
10,50,GREEDY,5,10419
10,50,WELSH_POWELL,4,33314
10,50,DSATUR,4,63727
10,50,GREEDY,5,9735
10,50,WELSH_POWELL,4,31934
10,50,DSATUR,4,59949
10,50,GREEDY,6,10417
10,50,WELSH_POWELL,5,33188
10,50,DSATUR,4,65028
10,50,GREEDY,6,9607
10,50,WELSH_POWELL,4,32244
10,50,DSATUR,4,60140
10,50,GREEDY,5,10168
10,50,WELSH_POWELL,4,32895
10,50,DSATUR,4,62893
10,50,GREEDY,5,9743
10,50,WELSH_POWELL,4,32300
10,50,DSATUR,3,58682
10,50,GREEDY,4,10389
10,50,WELSH_POWELL,4,32824
10,50,DSATUR,4,62720
10,50,GREEDY,5,9320
10,50,WELSH_POWELL,4,31397
10,50,DSATUR,4,60346
10,50,GREEDY,5,9918
10,50,WELSH_POWELL,4,32103
10,50,DSATUR,4,63064
10,50,GREEDY,4,9786
10,50,WELSH_POWELL,4,32217
10,50,DSATUR,4,59607
10,50,GREEDY,5,9856
10,50,WELSH_POWELL,5,32835
10,50,DSATUR,4,63247
10,50,GREEDY,5,10305
10,50,WELSH_POWELL,5,33163
10,50,DSATUR,4,63163
10,50,GREEDY,5,9884
10,50,WELSH_POWELL,4,32287
10,50,DSATUR,4,63290
10,50,GREEDY,5,9791
10,50,WELSH_POWELL,5,33104
10,50,DSATUR,4,64114
10,50,GREEDY,5,9830
10,50,WELSH_POWELL,4,32162
10,50,DSATUR,4,61376
10,50,GREEDY,5,9248
10,50,WELSH_POWELL,4,29813
10,50,DSATUR,4,63590
10,50,GREEDY,4,10167
10,50,WELSH_POWELL,5,33261
10,50,DSATUR,4,63934
10,50,GREEDY,5,10406
10,50,WELSH_POWELL,5,33844
10,50,DSATUR,4,62974
10,50,GREEDY,5,11048
10,50,WELSH_POWELL,5,35726
10,50,DSATUR,5,66822
10,50,GREEDY,5,9847
10,50,WELSH_POWELL,4,32376
10,50,DSATUR,4,61592
10,50,GREEDY,5,9330
10,50,WELSH_POWELL,4,31369
10,50,DSATUR,4,60203
10,50,GREEDY,5,9612
10,50,WELSH_POWELL,5,31755
10,50,DSATUR,4,60973
10,50,GREEDY,4,10108
10,50,WELSH_POWELL,4,32923
10,50,DSATUR,4,62753
10,50,GREEDY,5,9477
